practice_input,target_hsn8,target_hsn4,target_hsn6,target_description,difficulty,source
live horses asses mules and hinnies,01011010,0101,010110,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES",easy,training_mode
live asses mules hinnies pure breeding,01011010,0101,010110,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES",medium,training_mode
live horse asse mule and hinnie,01011010,0101,010110,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES",hard,training_mode
live horses asses mulesandhinnies pure bred,01011020,0101,010110,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES",easy,training_mode
live asses mulesandhinnies bred breeding asses,01011020,0101,010110,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES",medium,training_mode
live horse asse mulesandhinnie pure bred,01011020,0101,010110,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES",hard,training_mode
live horses asses mules and hinnies,01011090,0101,010110,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER",easy,training_mode
live asses mules hinnies pure breeding,01011090,0101,010110,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER",medium,training_mode
live horse asse mule and hinnie,01011090,0101,010110,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER",hard,training_mode
pure bred breeding animals,01012100,0101,010121,PURE-BRED BREEDING ANIMALS,easy,training_mode
pure breeding animals,01012100,0101,010121,PURE-BRED BREEDING ANIMALS,medium,training_mode
pure bred breedin animal,01012100,0101,010121,PURE-BRED BREEDING ANIMALS,hard,training_mode
horses for polo,01012910,0101,010129,Horses for polo,easy,training_mode
horses polo,01012910,0101,010129,Horses for polo,medium,training_mode
horse for polo,01012910,0101,010129,Horses for polo,hard,training_mode
other,01012990,0101,010129,other,easy,training_mode
othe,01012990,0101,010129,other,hard,training_mode
pure bred breeding animals,01013010,0101,010130,Pure-bred breeding animals,easy,training_mode
pure breeding animals,01013010,0101,010130,Pure-bred breeding animals,medium,training_mode
pure bred breedin animal,01013010,0101,010130,Pure-bred breeding animals,hard,training_mode
livestock,01013020,0101,010130,livestock,easy,training_mode
livestoc,01013020,0101,010130,livestock,hard,training_mode
other,01013090,0101,010130,other,easy,training_mode
othe,01013090,0101,010130,other,hard,training_mode
live horses asses mules and hinnies,01019010,0101,010190,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO",easy,training_mode
live asses mules hinnies other for,01019010,0101,010190,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO",medium,training_mode
live horse asse mule and hinnie,01019010,0101,010190,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO",hard,training_mode
live horses asses mules and hinnies,01019020,0101,010190,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK",easy,training_mode
live asses mules hinnies other mules,01019020,0101,010190,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK",medium,training_mode
live horse asse mule and hinnie,01019020,0101,010190,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK",hard,training_mode
mules and hinnies as livestock,01019030,0101,010190,Mules and hinnies as livestock,easy,training_mode
mules hinnies as,01019030,0101,010190,Mules and hinnies as livestock,medium,training_mode
mule and hinnie as livestoc,01019030,0101,010190,Mules and hinnies as livestock,hard,training_mode
other,01019090,0101,010190,OTHER,easy,training_mode
othe,01019090,0101,010190,OTHER,hard,training_mode
live bovine animals bulls pure bred,01021010,0102,010210,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT,easy,training_mode
live animals bulls bred breeding adult,01021010,0102,010210,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT,medium,training_mode
live bovin animal bull pure bred,01021010,0102,010210,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT,hard,training_mode
live bovine animals bulls pure bred,01021020,0102,010210,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT",easy,training_mode
live animals bulls bred breeding cows,01021020,0102,010210,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT",medium,training_mode
live bovin animal bull pure bred,01021020,0102,010210,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT",hard,training_mode
live bovine animals bulls pure bred,01021030,0102,010210,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES",easy,training_mode
live animals bulls bred breeding buffaloes,01021030,0102,010210,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES",medium,training_mode
live bovin animal bull pure bred,01021030,0102,010210,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES",hard,training_mode
live bovine animals bulls pure bred,01021090,0102,010210,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER,easy,training_mode
live animals bulls bred breeding other,01021090,0102,010210,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER,medium,training_mode
live bovin animal bull pure bred,01021090,0102,010210,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER,hard,training_mode
bulls,01022110,0102,010221,Bulls,easy,training_mode
bull,01022110,0102,010221,Bulls,hard,training_mode
cows,01022120,0102,010221,Cows,easy,training_mode
bulls,01022910,0102,010229,Bulls,easy,training_mode
bull,01022910,0102,010229,Bulls,hard,training_mode
other including calves,01022990,0102,010229,"OTHER, INCLUDING CALVES",easy,training_mode
other calves,01022990,0102,010229,"OTHER, INCLUDING CALVES",medium,training_mode
othe includin calve,01022990,0102,010229,"OTHER, INCLUDING CALVES",hard,training_mode
pure bred breeding animals,01023100,0102,010231,Pure-bred breeding animals,easy,training_mode
pure breeding animals,01023100,0102,010231,Pure-bred breeding animals,medium,training_mode
pure bred breedin animal,01023100,0102,010231,Pure-bred breeding animals,hard,training_mode
other,01023900,0102,010239,OTHER,easy,training_mode
othe,01023900,0102,010239,OTHER,hard,training_mode
pure bred breeding animals,01029010,0102,010290,PURE-BRED BREEDING ANIMALS,easy,training_mode
pure breeding animals,01029010,0102,010290,PURE-BRED BREEDING ANIMALS,medium,training_mode
pure bred breedin animal,01029010,0102,010290,PURE-BRED BREEDING ANIMALS,hard,training_mode
live bovine animals other buffaloes adult,01029020,0102,010290,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES",easy,training_mode
live animals other adult and,01029020,0102,010290,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES",medium,training_mode
live bovin animal othe buffaloe adul,01029020,0102,010290,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES",hard,training_mode
other,01029090,0102,010290,OTHER,easy,training_mode
othe,01029090,0102,010290,OTHER,hard,training_mode
pure bred breeding animals,01031000,0103,010310,PURE-BRED BREEDING ANIMALS,easy,training_mode
pure breeding animals,01031000,0103,010310,PURE-BRED BREEDING ANIMALS,medium,training_mode
pure bred breedin animal,01031000,0103,010310,PURE-BRED BREEDING ANIMALS,hard,training_mode
weighing less than 50kg,01039100,0103,010391,WEIGHING LESS THAN 50KG,easy,training_mode
weighing than 50kg,01039100,0103,010391,WEIGHING LESS THAN 50KG,medium,training_mode
weighin less than 50kg,01039100,0103,010391,WEIGHING LESS THAN 50KG,hard,training_mode
weighing 50kg or more,01039200,0103,010392,WEIGHING 50KG OR MORE,easy,training_mode
weighing or more,01039200,0103,010392,WEIGHING 50KG OR MORE,medium,training_mode
weighin 50kg or more,01039200,0103,010392,WEIGHING 50KG OR MORE,hard,training_mode
sheep including lamb for breeding purpose,01041010,0104,010410,SHEEP INCLUDING LAMB FOR BREEDING PURPOSE,easy,training_mode
sheep lamb for purpose,01041010,0104,010410,SHEEP INCLUDING LAMB FOR BREEDING PURPOSE,medium,training_mode
shee includin lamb for breedin purpos,01041010,0104,010410,SHEEP INCLUDING LAMB FOR BREEDING PURPOSE,hard,training_mode
other,01041090,0104,010410,OTHER,easy,training_mode
othe,01041090,0104,010410,OTHER,hard,training_mode
goats,01042000,0104,010420,GOATS,easy,training_mode
goat,01042000,0104,010420,GOATS,hard,training_mode
fowls of the species gallus domesticus,01051100,0105,010511,FOWLS OF THE SPECIES GALLUS DOMESTICUS,easy,training_mode
fowls the species domesticus,01051100,0105,010511,FOWLS OF THE SPECIES GALLUS DOMESTICUS,medium,training_mode
fowl of the specie gallu domesticu,01051100,0105,010511,FOWLS OF THE SPECIES GALLUS DOMESTICUS,hard,training_mode
turkeys,01051200,0105,010512,TURKEYS,easy,training_mode
turkey,01051200,0105,010512,TURKEYS,hard,training_mode
ducks,01051300,0105,010513,Ducks,easy,training_mode
duck,01051300,0105,010513,Ducks,hard,training_mode
geese,01051400,0105,010514,Geese,easy,training_mode
gees,01051400,0105,010514,Geese,hard,training_mode
guinea fowls,01051500,0105,010515,Guinea fowls,easy,training_mode
guine fowl,01051500,0105,010515,Guinea fowls,hard,training_mode
species gallu sdomesticus ducks geese turkeys,01051900,0105,010519,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER",easy,training_mode
species sdomesticus ducks turkeys and fowls,01051900,0105,010519,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER",medium,training_mode
specie gall sdomesticu duck gees turkey,01051900,0105,010519,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER",hard,training_mode
live poultry that is to say,01059200,0105,010592,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G",easy,training_mode
live that is say fowls the,01059200,0105,010592,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G",medium,training_mode
live poultr that is to say,01059200,0105,010592,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G",hard,training_mode
live poultry that is to say,01059300,0105,010593,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,",easy,training_mode
live that is say fowls the,01059300,0105,010593,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,",medium,training_mode
live poultr that is to say,01059300,0105,010593,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,",hard,training_mode
fowls of the species gallus domesticus,01059400,0105,010594,FOWLS OF THE SPECIES GALLUS DOMESTICUS,easy,training_mode
fowls the species domesticus,01059400,0105,010594,FOWLS OF THE SPECIES GALLUS DOMESTICUS,medium,training_mode
fowl of the specie gallu domesticu,01059400,0105,010594,FOWLS OF THE SPECIES GALLUS DOMESTICUS,hard,training_mode
other,01059900,0105,010599,OTHER,easy,training_mode
othe,01059900,0105,010599,OTHER,hard,training_mode
primates,01061100,0106,010611,PRIMATES,easy,training_mode
primate,01061100,0106,010611,PRIMATES,hard,training_mode
whales dolphins and porpoises mammals of,01061200,0106,010612,"WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA)",easy,training_mode
whales and porpoises of the cetacea,01061200,0106,010612,"WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA)",medium,training_mode
whale dolphin and porpoise mammal of,01061200,0106,010612,"WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA)",hard,training_mode
camels and other camelids camelidae,01061300,0106,010613,Camels and other camelids (Camelidae),easy,training_mode
camels other camelids,01061300,0106,010613,Camels and other camelids (Camelidae),medium,training_mode
camel and othe camelid camelida,01061300,0106,010613,Camels and other camelids (Camelidae),hard,training_mode
rabbits and hares,01061400,0106,010614,RABBITS AND HARES,easy,training_mode
rabbits hares,01061400,0106,010614,RABBITS AND HARES,medium,training_mode
rabbit and hare,01061400,0106,010614,RABBITS AND HARES,hard,training_mode
other,01061900,0106,010619,OTHER,easy,training_mode
othe,01061900,0106,010619,OTHER,hard,training_mode
reptiles including snakes and turtles,01062000,0106,010620,REPTILES (INCLUDING SNAKES AND TURTLES),easy,training_mode
reptiles snakes and,01062000,0106,010620,REPTILES (INCLUDING SNAKES AND TURTLES),medium,training_mode
reptile includin snake and turtle,01062000,0106,010620,REPTILES (INCLUDING SNAKES AND TURTLES),hard,training_mode
birds of prey,01063100,0106,010631,BIRDS OF PREY,easy,training_mode
birds prey,01063100,0106,010631,BIRDS OF PREY,medium,training_mode
bird of prey,01063100,0106,010631,BIRDS OF PREY,hard,training_mode
psittaciformes incl parrots parrakeets macaws and,01063200,0106,010632,"PSITTACIFORMES INCL. PARROTS, PARRAKEETS, MACAWS AND COCKATOOS",easy,training_mode
